gw,team,opp,off,on,min,date
1,Arsenal,Athletic Club,R. Calafiori,P. Hincapié,90,2025-09-16
1,Arsenal,Athletic Club,N. Madueke,C. Nørgaard,90,2025-09-16
1,Athletic Club,Arsenal,M. Vesga,A. R. Mora,81,2025-09-16
1,Athletic Club,Arsenal,U. Gómez,N. Serrano,81,2025-09-16
1,Arsenal,Athletic Club,E. Eze,G. Martinelli,71,2025-09-16
1,Athletic Club,Arsenal,A. Boiro,Y. Berchiche,68,2025-09-16
1,Athletic Club,Arsenal,O. Sancet,G. Guruzeta,68,2025-09-16
1,Arsenal,Athletic Club,V. Gyökeres,L. Trossard,65,2025-09-16
1,Athletic Club,Arsenal,R. Navarro,U. Gómez,61,2025-09-16
1,Royale Union Saint-Gilloise,PSV Eindhoven,K. Rodríguez,R. Schoofs,88,2025-09-16
1,PSV Eindhoven,Royale Union Saint-Gilloise,M. Boadu,D. Man,80,2025-09-16
1,Royale Union Saint-Gilloise,PSV Eindhoven,A. A. E. Hadj,K. V. D. Perre,75,2025-09-16
1,PSV Eindhoven,Royale Union Saint-Gilloise,I. Saibari,P. Wanner,74,2025-09-16
1,PSV Eindhoven,Royale Union Saint-Gilloise,R. Pepi,M. Boadu,74,2025-09-16
1,Royale Union Saint-Gilloise,PSV Eindhoven,P. David,M. Giger,67,2025-09-16
1,PSV Eindhoven,Royale Union Saint-Gilloise,A. Obispo,A. Salah-Eddine,46,2025-09-16
1,PSV Eindhoven,Royale Union Saint-Gilloise,J. Schouten,G. Til,46,2025-09-16
1,Qarabağ FK,Benfica,C. Durán,M. Qurbanlı,90,2025-09-16
1,Benfica,Qarabağ FK,R. Ríos,L. Barreiro,79,2025-09-16
1,Benfica,Qarabağ FK,V. Pavlidis,H. Araújo,79,2025-09-16
1,Qarabağ FK,Benfica,E. Cafarquliyev,T. Bayramov,77,2025-09-16
1,Qarabağ FK,Benfica,M. Janković,O. Kashchuk,77,2025-09-16
1,Benfica,Qarabağ FK,A. Schjelderup,G. Prestianni,70,2025-09-16
1,Benfica,Qarabağ FK,F. Aursnes,F. Ivanović,70,2025-09-16
1,Qarabağ FK,Benfica,L. Andrade,E. Addai,66,2025-09-16
1,Borussia Dortmund,Juventus,S. Guirassy,P. Gross,90,2025-09-16
1,Juventus,Borussia Dortmund,K. Yıldız,E. Zhegrova,87,2025-09-16
1,Borussia Dortmund,Juventus,F. Nmecha,J. Bellingham,71,2025-09-16
1,Borussia Dortmund,Juventus,M. Beier,J. Brandt,71,2025-09-16
1,Juventus,Borussia Dortmund,L. Openda,V. Adžić,69,2025-09-16
1,Juventus,Borussia Dortmund,T. Koopmeiners,M. Locatelli,69,2025-09-16
1,Juventus,Borussia Dortmund,J. David,D. Vlahović,60,2025-09-16
1,Juventus,Borussia Dortmund,W. McKennie,J. Mário,59,2025-09-16
1,Olympique de Marseille,Real Madrid,B. Pavard,C. Egan-Riley,88,2025-09-16
1,Olympique de Marseille,Real Madrid,Emerson,A. Murillo,78,2025-09-16
1,Olympique de Marseille,Real Madrid,T. Weah,A. Gouiri,78,2025-09-16
1,Real Madrid,Olympique de Marseille,A. Güler,R. Asencio,73,2025-09-16
1,Olympique de Marseille,Real Madrid,G. Kondogbia,A. Vermeeren,67,2025-09-16
1,Olympique de Marseille,Real Madrid,M. O'Riley,I. Paixão,66,2025-09-16
1,Real Madrid,Olympique de Marseille,F. Mastantuono,B. Díaz,63,2025-09-16
1,Real Madrid,Olympique de Marseille,Rodrygo,Vinícius Jr.,63,2025-09-16
1,Real Madrid,Olympique de Marseille,T. Alexander-Arnold,D. Carvajal,5,2025-09-16
1,Tottenham Hotspur,Villarreal,L. Bergvall,K. Danso,90,2025-09-16
1,Villarreal,Tottenham Hotspur,T. Buchanan,A. Moleiro,82,2025-09-16
1,Villarreal,Tottenham Hotspur,P. Gueye,D. Parejo,78,2025-09-16
1,Villarreal,Tottenham Hotspur,S. Comesaña,T. Partey,78,2025-09-16
1,Tottenham Hotspur,Villarreal,Richarlison,R. K. Muani,77,2025-09-16
1,Tottenham Hotspur,Villarreal,X. Simons,B. Johnson,77,2025-09-16
1,Villarreal,Tottenham Hotspur,S. Cardona,I. Akhomach,75,2025-09-16
1,Villarreal,Tottenham Hotspur,A. Pérez,A. Pedraza,75,2025-09-16
1,Tottenham Hotspur,Villarreal,D. Spence,D. Udogie,69,2025-09-16
1,Tottenham Hotspur,Villarreal,P. M. Sarr,J. Palhinha,69,2025-09-16
1,Pafos FC,Olympiacos FC,V. Dragomir,A. Silva,86,2025-09-17
1,Pafos FC,Olympiacos FC,Jajá,K. Sema,77,2025-09-17
1,Pafos FC,Olympiacos FC,J. Correia,B. Langa,77,2025-09-17
1,Olympiacos FC,Pafos FC,L. Pirola,G. Biancone,76,2025-09-17
1,Olympiacos FC,Pafos FC,S. Hezze,S. Pnevmonidis,75,2025-09-17
1,Olympiacos FC,Pafos FC,Rodinei,Costinha,61,2025-09-17
1,Olympiacos FC,Pafos FC,D. García,C. Mouzakitis,46,2025-09-17
1,Olympiacos FC,Pafos FC,G. Strefezza,M. Taremi,46,2025-09-17
1,Pafos FC,Olympiacos FC,D. Luiz,K. Pileas,34,2025-09-17
1,Pafos FC,Olympiacos FC,L. Dimata,M. Oršić,33,2025-09-17
1,SK Slavia Praha,Bodø/Glimt,M. Sadílek,M. Cham-Saračević,90,2025-09-17
1,SK Slavia Praha,Bodø/Glimt,V. Kušej,I. Schranz,90,2025-09-17
1,Bodø/Glimt,SK Slavia Praha,M. Riisnaes,Unknown,90,2025-09-17
1,Bodø/Glimt,SK Slavia Praha,H. Aleesami,V. Nielsen,85,2025-09-17
1,SK Slavia Praha,Bodø/Glimt,T. Chorý,M. Chytil,77,2025-09-17
1,SK Slavia Praha,Bodø/Glimt,Y. Mbodji,D. Hashioka,77,2025-09-17
1,Bodø/Glimt,SK Slavia Praha,S. Auklend,S. Fet,74,2025-09-17
1,Bodø/Glimt,SK Slavia Praha,K. Høgh,A. Helmersen,74,2025-09-17
1,Bodø/Glimt,SK Slavia Praha,J. Gundersen,M. Riisnaes,65,2025-09-17
1,Bodø/Glimt,SK Slavia Praha,M. Jørgensen,D. Bassi,46,2025-09-17
1,SK Slavia Praha,Bodø/Glimt,T. Holeš,S. Chaloupek,18,2025-09-17
1,Inter,AFC Ajax,M. Thuram,A. Bonny,87,2025-09-17
1,Inter,AFC Ajax,H. Çalhanoğlu,P. Sučić,87,2025-09-17
1,AFC Ajax,Inter,K. Itakura,J. Šutalo,84,2025-09-17
1,Inter,AFC Ajax,F. Dimarco,C. Augusto,80,2025-09-17
1,Inter,AFC Ajax,N. Barella,P. Zieliński,80,2025-09-17
1,AFC Ajax,Inter,Y. Regeer,O. Gloukh,76,2025-09-17
1,AFC Ajax,Inter,M. Godts,R. Moro,76,2025-09-17
1,Inter,AFC Ajax,H. Mkhitaryan,D. Frattesi,69,2025-09-17
1,AFC Ajax,Inter,W. Weghorst,K. Dolberg,63,2025-09-17
1,AFC Ajax,Inter,K. Taylor,J. McConnell,63,2025-09-17
1,FC Bayern München,Chelsea,H. Kane,N. Jackson,90,2025-09-17
1,FC Bayern München,Chelsea,S. Gnabry,T. Bischof,90,2025-09-17
1,Chelsea,FC Bayern München,E. Fernández,Estêvão,81,2025-09-17
1,Chelsea,FC Bayern München,R. James,A. Santos,68,2025-09-17
1,Chelsea,FC Bayern München,P. Neto,A. Garnacho,68,2025-09-17
1,FC Bayern München,Chelsea,A. Pavlović,L. Goretzka,64,2025-09-17
1,FC Bayern München,Chelsea,J. Stanišić,S. Boey,51,2025-09-17
1,FC Bayern München,Chelsea,J. Tah,M. Kim,46,2025-09-17
1,Liverpool,Atlético Madrid,A. Robertson,M. Kerkez,86,2025-09-17
1,Atlético Madrid,Liverpool,N. González,Pubill,77,2025-09-17
1,Liverpool,Atlético Madrid,F. Wirtz,R. Ngumoha,74,2025-09-17
1,Atlético Madrid,Liverpool,C. Gallagher,N. Molina,61,2025-09-17
1,Atlético Madrid,Liverpool,A. Griezmann,A. Sørloth,61,2025-09-17
1,Liverpool,Atlético Madrid,C. Gakpo,A. Mac Allister,58,2025-09-17
1,Liverpool,Atlético Madrid,A. Isak,H. Ekitiké,58,2025-09-17
1,Liverpool,Atlético Madrid,J. Frimpong,C. Bradley,58,2025-09-17
1,Atlético Madrid,Liverpool,G. Raspadori,Koke,53,2025-09-17
1,Atalanta,Paris Saint-Germain,G. Scalvini,H. Ahanor,85,2025-09-17
1,Atalanta,Paris Saint-Germain,Y. Musah,M. Brescianini,75,2025-09-17
1,Paris Saint-Germain,Atalanta,K. Kvaratskhelia,I. Mbaye,75,2025-09-17
1,Atalanta,Paris Saint-Germain,B. Djimsiti,G. Scalvini,75,2025-09-17
1,Paris Saint-Germain,Atalanta,N. Mendes,I. Zabarnyi,75,2025-09-17
1,Paris Saint-Germain,Atalanta,J. Neves,G. Ramos,58,2025-09-17
1,Paris Saint-Germain,Atalanta,S. Mayulu,K. Lee,55,2025-09-17
1,Paris Saint-Germain,Atalanta,F. Ruiz,W. Zaïre-Emery,55,2025-09-17
1,Atalanta,Paris Saint-Germain,C. De Ketelaere,L. Samardžić,46,2025-09-17
1,Atalanta,Paris Saint-Germain,D. Maldini,N. Krstović,46,2025-09-17
1,Club Brugge KV,AS Monaco,R. Onyedika,L. Audoor,81,2025-09-18
1,Club Brugge KV,AS Monaco,J. Ordóñez,J. Spileers,81,2025-09-18
1,AS Monaco,Club Brugge KV,C. Mawissa,K. Ouattara,78,2025-09-18
1,AS Monaco,Club Brugge KV,M. Biereth,G. Ilenikhena,63,2025-09-18
1,AS Monaco,Club Brugge KV,F. Balogun,A. Fati,63,2025-09-18
1,Club Brugge KV,AS Monaco,C. Forbs,M. Diakhon,61,2025-09-18
1,Club Brugge KV,AS Monaco,B. Meijer,J. Seys,61,2025-09-18
1,AS Monaco,Club Brugge KV,A. Bamba,M. Coulibaly,46,2025-09-18
1,AS Monaco,Club Brugge KV,C. Henrique,T. Kehrer,46,2025-09-18
1,Club Brugge KV,AS Monaco,S. Mignolet,N. Jackers,19,2025-09-18
1,Bayer 04 Leverkusen,FC København,R. Andrich,C. Kofane,88,2025-09-18
1,FC København,Bayer 04 Leverkusen,E. Achouri,Robert,79,2025-09-18
1,FC København,Bayer 04 Leverkusen,J. Larsson,Y. Zague,79,2025-09-18
1,FC København,Bayer 04 Leverkusen,Y. Moukoko,V. Claesson,69,2025-09-18
1,Bayer 04 Leverkusen,FC København,L. Badé,C. Echeverri,67,2025-09-18
1,Bayer 04 Leverkusen,FC København,E. Ben Seghir,E. Poku,67,2025-09-18
1,FC København,Bayer 04 Leverkusen,T. Delaney,M. E. Madsen,55,2025-09-18
1,Bayer 04 Leverkusen,FC København,E. Fernández,A. García,51,2025-09-18
1,Bayer 04 Leverkusen,FC København,M. Tillman,I. Maza,51,2025-09-18
1,Eintracht Frankfurt,Galatasaray,R. Doan,M. Batshuayi,84,2025-09-18
1,Eintracht Frankfurt,Galatasaray,R. Koch,A. Amenda,80,2025-09-18
1,Eintracht Frankfurt,Galatasaray,H. Larsson,E. Skhiri,80,2025-09-18
1,Galatasaray,Eintracht Frankfurt,Y. Akgün,K. Ayhan,78,2025-09-18
1,Eintracht Frankfurt,Galatasaray,C. Uzun,J. Bahoya,72,2025-09-18
1,Eintracht Frankfurt,Galatasaray,J. Burkardt,E. Wahi,72,2025-09-18
1,Galatasaray,Eintracht Frankfurt,L. Sane,A. Kutucu,67,2025-09-18
1,Galatasaray,Eintracht Frankfurt,E. Elmalı,I. Jakobs,67,2025-09-18
1,Galatasaray,Eintracht Frankfurt,I. Gundogan,G. Sara,67,2025-09-18
1,Galatasaray,Eintracht Frankfurt,M. Lemina,M. Icardi,55,2025-09-18
1,Manchester City,Napoli,E. Haaland,O. Bobb,80,2025-09-18
1,Manchester City,Napoli,J. Gvardiol,N. Ake,80,2025-09-18
1,Manchester City,Napoli,T. Reijnders,R. Lewis,80,2025-09-18
1,Napoli,Manchester City,S. Lobotka,B. Gilmour,72,2025-09-18
1,Napoli,Manchester City,R. Højlund,D. Neres,72,2025-09-18
1,Napoli,Manchester City,F. Anguissa,E. Elmas,71,2025-09-18
1,Manchester City,Napoli,J. Doku,Savinho,69,2025-09-18
1,Manchester City,Napoli,Rodri,N. González,60,2025-09-18
1,Napoli,Manchester City,M. Politano,J. Jesus,55,2025-09-18
1,Napoli,Manchester City,K. De Bruyne,M. Olivera,26,2025-09-18
1,FC Barcelona,Newcastle United,F. López,M. Casadó,90,2025-09-18
1,FC Barcelona,Newcastle United,M. Rashford,D. Olmo,82,2025-09-18
1,FC Barcelona,Newcastle United,G. Martín,E. García,81,2025-09-18
1,Newcastle United,FC Barcelona,K. Trippier,S. Botman,76,2025-09-18
1,FC Barcelona,Newcastle United,R. Lewandowski,A. Christensen,70,2025-09-18
1,FC Barcelona,Newcastle United,P. Cubarsí,F. Torres,69,2025-09-18
1,Newcastle United,FC Barcelona,A. Elanga,J. Murphy,63,2025-09-18
1,Newcastle United,FC Barcelona,F. Schär,M. Thiaw,63,2025-09-18
1,Newcastle United,FC Barcelona,Joelinton,J. Willock,62,2025-09-18
1,Newcastle United,FC Barcelona,H. Barnes,N. Woltemade,62,2025-09-18
1,Kairat Almaty,Sporting CP,A. Mrynskiy,Ricardinho,81,2025-09-18
1,Kairat Almaty,Sporting CP,L. Mata,L. Kurgin,80,2025-09-18
1,Kairat Almaty,Sporting CP,D. Kasabulat,A. Sadybekov,75,2025-09-18
1,Kairat Almaty,Sporting CP,E. Tapalov,J. Stanojev,70,2025-09-18
1,Kairat Almaty,Sporting CP,O. Arad,Edmilson,70,2025-09-18
1,Sporting CP,Kairat Almaty,M. Hjulmand,Z. Debast,70,2025-09-18
1,Sporting CP,Kairat Almaty,M. Araújo,M. Reis,66,2025-09-18
1,Sporting CP,Kairat Almaty,L. J. Suárez ,F. Ioannidis,61,2025-09-18
1,Sporting CP,Kairat Almaty,G. Kochorashvili,H. Morita,61,2025-09-18
1,Sporting CP,Kairat Almaty,P. Gonçalves,A. Santos,61,2025-09-18
2,Club Brugge KV,Atalanta,J. Ordóñez,Z. Romero,89,2025-09-30
2,Atalanta,Club Brugge KV,N. Krstović,M. Brescianini,88,2025-09-30
2,Club Brugge KV,Atalanta,K. Sabbe,B. Meijer,88,2025-09-30
2,Club Brugge KV,Atalanta,C. Sandra,S. Campbell,88,2025-09-30
2,Club Brugge KV,Atalanta,C. Forbs,H. Vetlesen,75,2025-09-30
2,Club Brugge KV,Atalanta,N. Tresoldi,R. Vermant,63,2025-09-30
2,Atalanta,Club Brugge KV,A. Lookman,K. Sulemana,61,2025-09-30
2,Atalanta,Club Brugge KV,Éderson,L. Samardžić,61,2025-09-30
2,Atalanta,Club Brugge KV,O. Kossounou,Y. Musah,53,2025-09-30
2,Atalanta,Club Brugge KV,R. Bellanova,D. Zappacosta,46,2025-09-30
2,Real Madrid,Kairat Almaty,K. Mbappé,G. García,81,2025-09-30
2,Real Madrid,Kairat Almaty,A. Tchouaméni,E. Camavinga,80,2025-09-30
2,Real Madrid,Kairat Almaty,A. Güler,J. Bellingham,80,2025-09-30
2,Kairat Almaty,Real Madrid,D. Satpayev,Ricardinho,80,2025-09-30
2,Kairat Almaty,Real Madrid,V. Gromyko,G. Zaria,80,2025-09-30
2,Real Madrid,Kairat Almaty,Vinícius Jr.,B. Díaz,70,2025-09-30
2,Real Madrid,Kairat Almaty,F. Mastantuono,Rodrygo,70,2025-09-30
2,Kairat Almaty,Real Madrid,J. G. C. Monteiro,Edmilson,65,2025-09-30
2,Kairat Almaty,Real Madrid,E. Tapalov,J. Stanojev,65,2025-09-30
2,Kairat Almaty,Real Madrid,O. Arad,O. Baibek,64,2025-09-30
2,Atlético Madrid,Eintracht Frankfurt,A. Griezmann,C. Martín,90,2025-09-30
2,Atlético Madrid,Eintracht Frankfurt,J. Álvarez,A. Baena,90,2025-09-30
2,Atlético Madrid,Eintracht Frankfurt,G. Simeone,N. Molina,75,2025-09-30
2,Atlético Madrid,Eintracht Frankfurt,P. Barrios,N. González,75,2025-09-30
2,Eintracht Frankfurt,Atlético Madrid,R. Doan,M. Götze,74,2025-09-30
2,Eintracht Frankfurt,Atlético Madrid,N. Brown,J. Bahoya,71,2025-09-30
2,Eintracht Frankfurt,Atlético Madrid,N. Collins,A. Amenda,58,2025-09-30
2,Eintracht Frankfurt,Atlético Madrid,C. Uzun,H. Larsson,58,2025-09-30
2,Eintracht Frankfurt,Atlético Madrid,E. Skhiri,O. Højlund,58,2025-09-30
2,Atlético Madrid,Eintracht Frankfurt,G. Raspadori,Koke,55,2025-09-30
2,Bodø/Glimt,Tottenham Hotspur,H. Aleesami,A. Klynge,90,2025-09-30
2,Bodø/Glimt,Tottenham Hotspur,H. Evjen,J. Gundersen,87,2025-09-30
2,Tottenham Hotspur,Bodø/Glimt,R. Bentancur,A. Gray,82,2025-09-30
2,Tottenham Hotspur,Bodø/Glimt,D. Spence,D. Udogie,82,2025-09-30
2,Bodø/Glimt,Tottenham Hotspur,S. Auklend,O. D. Blomberg,80,2025-09-30
2,Bodø/Glimt,Tottenham Hotspur,K. Høgh,A. Helmersen,80,2025-09-30
2,Tottenham Hotspur,Bodø/Glimt,P. M. Sarr,J. Palhinha,69,2025-09-30
2,Tottenham Hotspur,Bodø/Glimt,L. Bergvall,M. Kudus,60,2025-09-30
2,Tottenham Hotspur,Bodø/Glimt,B. Johnson,X. Simons,60,2025-09-30
2,Benfica,Chelsea,F. Aursnes,H. Araújo,89,2025-09-30
2,Chelsea,Benfica,B. Badiashile,J. Acheampong,81,2025-09-30
2,Chelsea,Benfica,M. Gusto,R. James,81,2025-09-30
2,Benfica,Chelsea,R. Ríos,L. Barreiro,77,2025-09-30
2,Benfica,Chelsea,G. Sudakov,F. Ivanović,77,2025-09-30
2,Benfica,Chelsea,D. Lukebakio,A. Schjelderup,77,2025-09-30
2,Benfica,Chelsea,A. Silva,T. Araújo,73,2025-09-30
2,Chelsea,Benfica,A. Garnacho,J. Gittens,61,2025-09-30
2,Chelsea,Benfica,T. George,J. Pedro,61,2025-09-30
2,Chelsea,Benfica,F. Buonanotte,Estêvão,54,2025-09-30
2,Galatasaray,Liverpool,B. A. Yılmaz,E. Elmalı,85,2025-09-30
2,Galatasaray,Liverpool,I. Gundogan,G. Sara,75,2025-09-30
2,Galatasaray,Liverpool,Y. Akgün,R. Sallai,72,2025-09-30
2,Galatasaray,Liverpool,V. Osimhen,M. Icardi,72,2025-09-30
2,Liverpool,Galatasaray,H. Ekitiké,A. Mac Allister,68,2025-09-30
2,Liverpool,Galatasaray,J. Frimpong,C. Bradley,62,2025-09-30
2,Liverpool,Galatasaray,R. Gravenberch,A. Isak,62,2025-09-30
2,Liverpool,Galatasaray,C. Gakpo,M. Salah,62,2025-09-30
2,Liverpool,Galatasaray,Alisson,G. Mamardashvili,56,2025-09-30
2,SK Slavia Praha,Inter,D. Hashioka,M. Chytil,83,2025-09-30
2,Inter,SK Slavia Praha,D. Dumfries,M. Darmian,76,2025-09-30
2,SK Slavia Praha,Inter,L. Provod,M. Cham-Saračević,71,2025-09-30
2,Inter,SK Slavia Praha,P. Zieliński,N. Barella,67,2025-09-30
2,Inter,SK Slavia Praha,Y. Bisseck,M. Akanji,67,2025-09-30
2,Inter,SK Slavia Praha,L. Martínez,F. P. Esposito,67,2025-09-30
2,Inter,SK Slavia Praha,M. Thuram,A. Bonny,66,2025-09-30
2,SK Slavia Praha,Inter,D. Doudera,Y. Mbodji,49,2025-09-30
2,SK Slavia Praha,Inter,M. Sadílek,I. Schranz,46,2025-09-30
2,SK Slavia Praha,Inter,V. Kušej,T. Chorý,46,2025-09-30
2,AFC Ajax,Olympique de Marseille,M. Godts,R. Moro,84,2025-09-30
2,Olympique de Marseille,AFC Ajax,A. Vermeeren,A. Murillo,82,2025-09-30
2,Olympique de Marseille,AFC Ajax,I. Paixão,A. Gomes,62,2025-09-30
2,Olympique de Marseille,AFC Ajax,M. O'Riley,P. Højbjerg,62,2025-09-30
2,AFC Ajax,Olympique de Marseille,Y. Baas,J. Šutalo,55,2025-09-30
2,AFC Ajax,Olympique de Marseille,O. Wijndal,A. Gaaei,55,2025-09-30
2,AFC Ajax,Olympique de Marseille,S. Berghuis,O. Edvardsen,46,2025-09-30
2,Olympique de Marseille,AFC Ajax,B. Nadir,T. Weah,46,2025-09-30
2,Olympique de Marseille,AFC Ajax,F. Medina,C. Egan-Riley,36,2025-09-30
2,AFC Ajax,Olympique de Marseille,Y. Regeer,J. Mokio,23,2025-09-30
2,FC Bayern München,Pafos FC,K. Laimer,T. Bischof,83,2025-09-30
2,Pafos FC,FC Bayern München,K. Pileas,K. Sema,79,2025-09-30
2,FC Bayern München,Pafos FC,M. Olise,L. Karl,73,2025-09-30
2,FC Bayern München,Pafos FC,D. Upamecano,J. Tah,73,2025-09-30
2,Pafos FC,FC Bayern München,V. Dragomir,D. Quina,66,2025-09-30
2,FC Bayern München,Pafos FC,H. Kane,S. Boey,64,2025-09-30
2,Pafos FC,FC Bayern München,D. Luiz,B. Langa,59,2025-09-30
2,Pafos FC,FC Bayern München,A. Silva,M. Bassouamina,59,2025-09-30
2,Pafos FC,FC Bayern München,Jajá,L. Dimata,59,2025-09-30
2,FC Bayern München,Pafos FC,L. Díaz,S. Gnabry,46,2025-09-30
2,Qarabağ FK,FC København,A. Zoubir,C. Kouakou,90,2025-10-01
2,Qarabağ FK,FC København,E. Cafarquliyev,M. Qurbanlı,90,2025-10-01
2,FC København,Qarabağ FK,T. Delaney,M. E. Madsen,78,2025-10-01
2,Qarabağ FK,FC København,C. Durán,N. Akhundzade,78,2025-10-01
2,Qarabağ FK,FC København,L. Andrade,T. Bayramov,78,2025-10-01
2,Qarabağ FK,FC København,O. Kashchuk,E. Addai,70,2025-10-01
2,FC København,Qarabağ FK,P. Hatzidiakos,E. Achouri,69,2025-10-01
2,FC København,Qarabağ FK,Y. Moukoko,V. Claesson,46,2025-10-01
2,FC København,Qarabağ FK,Robert,J. Suzuki,46,2025-10-01
2,FC København,Qarabağ FK,R. Huescas,Y. Zague,15,2025-10-01
2,Newcastle United,Royale Union Saint-Gilloise,K. Trippier,F. Schär,83,2025-10-01
2,Royale Union Saint-Gilloise,Newcastle United,A. Khalaili,L. Patris,78,2025-10-01
2,Royale Union Saint-Gilloise,Newcastle United,K. Rodríguez,S. Boufal,73,2025-10-01
2,Newcastle United,Royale Union Saint-Gilloise,A. Elanga,H. Barnes,73,2025-10-01
2,Newcastle United,Royale Union Saint-Gilloise,B. Guimarães,L. Hall,73,2025-10-01
2,Newcastle United,Royale Union Saint-Gilloise,N. Woltemade,W. Osula,73,2025-10-01
2,Royale Union Saint-Gilloise,Newcastle United,K. Mac Allister,R. Sykes,67,2025-10-01
2,Royale Union Saint-Gilloise,Newcastle United,K. V. D. Perre,M. Rasmussen,67,2025-10-01
2,Newcastle United,Royale Union Saint-Gilloise,Joelinton,L. Miley,59,2025-10-01
2,Royale Union Saint-Gilloise,Newcastle United,P. David,M. Giger,46,2025-10-01
2,AS Monaco,Manchester City,M. Salisu,G. Ilenikhena,83,2025-10-01
2,AS Monaco,Manchester City,F. Balogun,M. Biereth,82,2025-10-01
2,AS Monaco,Manchester City,M. Coulibaly,P. Cabral,82,2025-10-01
2,Manchester City,AS Monaco,J. Stones,M. Nunes,73,2025-10-01
2,AS Monaco,Manchester City,A. Fati,S. I. Muzambo,64,2025-10-01
2,Manchester City,AS Monaco,Rodri,N. González,61,2025-10-01
2,Manchester City,AS Monaco,J. Doku,Savinho,61,2025-10-01
2,AS Monaco,Manchester City,Vanderson,K. Ouattara,22,2025-10-01
2,Olympiacos FC,Arsenal,T. Retsos,G. Biancone,86,2025-10-01
2,Olympiacos FC,Arsenal,Chiquinho,G. Strefezza,86,2025-10-01
2,Olympiacos FC,Arsenal,S. Hezze,C. Mouzakitis,86,2025-10-01
2,Olympiacos FC,Arsenal,D. Garcia,L. Scipioni,75,2025-10-01
2,Arsenal,Olympiacos FC,Gabriel,C. Mosquera,75,2025-10-01
2,Arsenal,Olympiacos FC,L. Trossard,B. Saka,73,2025-10-01
2,Arsenal,Olympiacos FC,G. Martinelli,E. Eze,73,2025-10-01
2,Olympiacos FC,Arsenal,G. Martins,M. Taremi,62,2025-10-01
2,Arsenal,Olympiacos FC,B. White,J. Timber,58,2025-10-01
2,Arsenal,Olympiacos FC,M. Merino,D. Rice,58,2025-10-01
2,Bayer 04 Leverkusen,PSV Eindhoven,M. Tillman,I. Maza,80,2025-10-01
2,Bayer 04 Leverkusen,PSV Eindhoven,C. Kofane,C. Echeverri,80,2025-10-01
2,Bayer 04 Leverkusen,PSV Eindhoven,E. Poku,E. Ben Seghir,73,2025-10-01
2,PSV Eindhoven,Bayer 04 Leverkusen,D. Man,E. Bajraktarević,73,2025-10-01
2,PSV Eindhoven,Bayer 04 Leverkusen,I. Perisic,C. Driouech,73,2025-10-01
2,PSV Eindhoven,Bayer 04 Leverkusen,A. Obispo,R. Flamingo,66,2025-10-01
2,Bayer 04 Leverkusen,PSV Eindhoven,A. Tape,Arthur,42,2025-10-01
2,Borussia Dortmund,Athletic Club,S. Guirassy,F. Silva,87,2025-10-01
2,Athletic Club,Borussia Dortmund,M. Sannadi,I. Sánchez,80,2025-10-01
2,Borussia Dortmund,Athletic Club,N. Süle,N. Schlotterbeck,70,2025-10-01
2,Borussia Dortmund,Athletic Club,J. Bellingham,F. Nmecha,69,2025-10-01
2,Athletic Club,Borussia Dortmund,U. Gómez,N. Serrano,63,2025-10-01
2,Borussia Dortmund,Athletic Club,K. Adeyemi,M. Beier,63,2025-10-01
2,Borussia Dortmund,Athletic Club,C. Chukwuemeka,J. Brandt,63,2025-10-01
2,Athletic Club,Borussia Dortmund,D. Vivian,A. Laporte,46,2025-10-01
2,Athletic Club,Borussia Dortmund,M. Jauregizar,I. R. d. Galarreta,46,2025-10-01
2,Athletic Club,Borussia Dortmund,I. Williams,G. Guruzeta,46,2025-10-01
2,FC Barcelona,Paris Saint-Germain,E. García,A. Christensen,86,2025-10-01
2,Paris Saint-Germain,FC Barcelona,S. Mayulu,K. Lee,80,2025-10-01
2,Paris Saint-Germain,FC Barcelona,B. Barcola,Q. Ndjantou,80,2025-10-01
2,FC Barcelona,Paris Saint-Germain,Pedri,M. Bernal,79,2025-10-01
2,Paris Saint-Germain,FC Barcelona,F. Ruiz,G. Ramos,72,2025-10-01
2,FC Barcelona,Paris Saint-Germain,G. Martín,A. Balde,72,2025-10-01
2,FC Barcelona,Paris Saint-Germain,D. Olmo,M. Casadó,72,2025-10-01
2,FC Barcelona,Paris Saint-Germain,M. Rashford,R. Lewandowski,72,2025-10-01
2,Paris Saint-Germain,FC Barcelona,I. Mbaye,L. Hernández,65,2025-10-01
2,Napoli,Sporting CP,R. Højlund,L. Lucca,90,2025-10-01
2,Napoli,Sporting CP,K. De Bruyne,B. Gilmour,81,2025-10-01
2,Napoli,Sporting CP,M. Gutiérrez,M. Olivera,81,2025-10-01
2,Sporting CP,Napoli,J. Simões,H. Morita,78,2025-10-01
2,Napoli,Sporting CP,S. McTominay,N. Lang,69,2025-10-01
2,Napoli,Sporting CP,M. Politano,D. Neres,69,2025-10-01
2,Sporting CP,Napoli,F. Ioannidis,A. Santos,67,2025-10-01
2,Sporting CP,Napoli,E. Quaresma,Z. Debast,67,2025-10-01
2,Sporting CP,Napoli,G. Catamo,L. J. Suárez ,46,2025-10-01
2,Sporting CP,Napoli,F. Trincão,P. Gonçalves,46,2025-10-01
2,Juventus,Villarreal,J. David,D. Vlahović,86,2025-10-01
2,Juventus,Villarreal,K. Yıldız,V. Adžić,80,2025-10-01
2,Juventus,Villarreal,A. Cambiaso,D. Rugani,79,2025-10-01
